port_index,portname,prttype,prtsize,status,iso3,port_lat,port_long,unique_port_identifier,country
3.0,Charlotte (Skidegate),Sea,Unknown,Open,CAN,53.24730000000001,-132.03099999999998,Charlotte (Skidegate) (3.0),Canada
5.0,Hartsdale,Sea,Unknown,Open,USA,40.7121000000017,-73.99629999999898,Hartsdale (5.0),United States of America
6.0,Killingholme,Sea,Unknown,Unknown,GBR,53.6483000000007,-0.2197999999999961,Killingholme (6.0),U.K. of Great Britain & Northern Ireland
7.0,Shoreham,Sea,Unknown,Unknown,GBR,50.8356999999997,-0.2673999999999996,Shoreham (7.0),U.K. of Great Britain and Northern Ireland
8.0,Southend,Sea,Unknown,Unknown,GBR,51.53379999999961,0.7195000000000146,Southend (8.0),U.K. of Great Britain and Northern Ireland
12.0,Canaport,Sea,Unknown,Open,CAN,45.2077,-65.9839,Canaport (12.0),Canada
13.0,Winslow,Sea,Unknown,Open,USA,47.619799999995415,-122.52199999999743,Winslow (13.0),United States of America
15.0,Redwood City,Sea,Unknown,Open,USA,37.834400000002276,-122.46999999999545,Redwood City (15.0),United States of America
16.0,Shawano,Sea,Unknown,Open,USA,28.92820000000012,-89.40330000000071,Shawano (16.0),United States of America
17.0,Mars,Sea,Unknown,Open,USA,29.4803,-91.7985,Mars (17.0),United States of America
18.0,Sullom Voe,Sea,Unknown,Unknown,GBR,60.47189999999999,-1.2755000000000005,Sullom Voe (18.0),U.K. of Great Britain & Northern Ireland
19.0,Salina,Sea,Unknown,Unknown,ITA,38.58220000000037,14.828300000000384,Salina (19.0),Italy
20.0,Eleusis,Sea,Unknown,Unknown,GRC,38.039899999996926,23.54790000000315,Eleusis (20.0),Greece
21.0,Syros (Syra),Sea,Unknown,Unknown,GRC,37.43589999999791,24.941099999998105,Syros (Syra) (21.0),Greece
24.0,Pointe Des Galets,Sea,Unknown,Open,REU,-20.911100000000083,55.292499999999656,Pointe Des Galets (24.0),Reunion
25.0,Sulina (Port Et Zone Franche),Sea,Unknown,Unknown,ROU,45.16289999999957,29.67490000000019,Sulina (Port Et Zone Franche) (25.0),Romania
26.0,Damman,Sea,Medium,Unknown,SAU,26.48990000000002,50.20550000000002,Damman (26.0),Saudi Arabia
